"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.",DIRECTOR,"Continental Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.","GERENTE GENERAL","Continental Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.",,"Continental Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"GONZALES CHIRINOS BRUNO","AFP HORIZONTE S.A.","GTE DE MIDDLE OFFICE Y REG MCD","Continental Sociedad Titulizadora S.A.","ASESOR LEGAL","GRUPO BBVA",2011-07-18,2013-04-23,"3 años, 1 meses, 28 días."
"PELLEJERO COLLADO ENRIQUE","AFP HORIZONTE S.A.",DIRECTOR,"Continental Sociedad Titulizadora S.A.",DIRECTOR,"GRUPO BBVA",2002-10-17,2004-02-05,"0 años, 6 meses, 15 días."
"PELLEJERO COLLADO ENRIQUE","AFP HORIZONTE S.A.","DIRECTOR SUPLENTE","Continental Sociedad Titulizadora S.A.",DIRECTOR,"GRUPO BBVA",2002-04-02,2002-10-17,"1 años, 10 meses, 16 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 6 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2007-01-01,2007-03-28,"1 años, 0 meses, 3 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"Credicorp LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 8 meses, 10 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",OTROS,"CREDICORP LTD.",2007-01-01,2007-01-01,"4 años, 2 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2007-01-01,2007-03-28,"4 años, 2 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 10 meses, 12 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2010-03-18,2013-03-21,"5 años, 6 meses, 22 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2011-03-31,2013-03-21,"1 años, 0 meses, 13 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Edyficar S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-18,2010-03-31,"0 años, 5 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2013-03-21,"1 años, 11 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2010-03-18,2013-03-21,"1 años, 9 meses, 16 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2013-03-21,"1 años, 11 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2007-03-28,2008-02-29,"2 años, 7 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2007-03-28,2008-02-29,"3 años, 0 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","Credicorp LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2007-03-28,2008-02-29,"1 años, 4 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2007-03-28,2008-02-29,"6 años, 3 meses, 9 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2007-03-28,2008-02-29,"2 años, 10 meses, 26 días."
"CIGÜEÑAS GUEVARA BENEDICTO","PRIMA AFP S.A.",DIRECTOR,"Credito Leasing S.A.- Credileasing",DIRECTOR,"CREDICORP LTD.",2007-03-26,2008-02-29,"2 años, 0 meses, 12 días."
"CIGÜEÑAS GUEVARA BENEDICTO","PRIMA AFP S.A.",DIRECTOR,"Credicorp Capital Sociedad Titulizadora S.A.",DIRECTOR,"CREDICORP LTD.",2007-03-28,2008-02-29,"2 años, 0 meses, 14 días."
"CIGÜEÑAS GUEVARA BENEDICTO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú",DIRECTOR,"CREDICORP LTD.",2007-01-01,2008-02-29,"0 años, 1 meses, 14 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2008-04-28,2013-09-30,"0 años, 1 meses, 30 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-26,2013-09-30,"2 años, 0 meses, 25 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"Edyficar S.A.",DIRECTOR,"CREDICORP LTD.",2009-10-27,2013-10-09,"1 años, 7 meses, 28 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"Credicorp LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2008-03-28,2013-09-30,"0 años, 0 meses, 28 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"Credicorp LTD.","GERENTE DE SEGUROS","CREDICORP LTD.",2013-10-01,2013-10-09,"5 años, 7 meses, 2 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2008-06-02,2013-10-03,"0 años, 3 meses, 4 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE PLANEA.Y FINANZAS","CREDICORP LTD.",2008-04-01,2013-09-30,"0 años, 1 meses, 3 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2016-06-24,"A la actualidad","11 años, 3 meses, 10 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2013-10-01,2015-08-31,"8 años, 6 meses, 17 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2013-10-01,"A la actualidad","8 años, 6 meses, 17 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,Mibanco,DIRECTOR,"CREDICORP LTD.",2014-03-27,"A la actualidad","9 años, 0 meses, 13 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Edyficar S.A.",DIRECTOR,"CREDICORP LTD.",2009-10-27,"A la actualidad","4 años, 7 meses, 13 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Credicorp LTD.",,"CREDICORP LTD.",2016-06-24,"A la actualidad","11 años, 3 meses, 10 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Credicorp LTD.","GERENTE DE FINANZAS","CREDICORP LTD.",2013-10-01,"A la actualidad","8 años, 6 meses, 17 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2013-10-03,"A la actualidad","8 años, 6 meses, 19 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú",,"CREDICORP LTD.",2016-06-24,"A la actualidad","11 años, 3 meses, 10 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE PLANEA.Y FINANZAS","CREDICORP LTD.",2013-10-01,"A la actualidad","8 años, 6 meses, 17 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2011-03-31,2015-08-31,"2 años, 6 meses, 6 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,Mibanco,"VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2015-04-15,"A la actualidad","6 años, 6 meses, 21 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,Mibanco,"PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2014-03-27,2014-03-27,"5 años, 6 meses, 2 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,Mibanco,DIRECTOR,"CREDICORP LTD.",2014-03-27,2014-04-24,"5 años, 6 meses, 2 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"Edyficar S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2010-03-31,"A la actualidad","1 años, 6 meses, 6 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"Edyficar S.A.",DIRECTOR,"CREDICORP LTD.",2009-10-21,2010-03-31,"1 años, 0 meses, 19 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2008-09-25,"A la actualidad","0 años, 3 meses, 23 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL BCA. MINORISTA","CREDICORP LTD.",2008-09-25,"A la actualidad","0 años, 5 meses, 24 días."
"LOAIZA NEGREIROS RUBEN FERNANDO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","GERENTE DE SUBSIDIARIAS","CREDICORP LTD.",2012-05-10,2013-03-21,"0 años, 1 meses, 10 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2008-06-02,2010-03-18,"1 años, 2 meses, 5 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G. CENTRAL ADM. DE ACTIVOS","CREDICORP LTD.",2008-04-01,2010-03-18,"1 años, 0 meses, 4 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2011-03-31,2011-04-14,"1 años, 0 meses, 13 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2010-03-18,2012-03-08,"1 años, 9 meses, 16 días."
"MAGGIOLO DIBOS JAVIER ERNESTO","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","G. CENTRAL ADM. DE ACTIVOS","CREDICORP LTD.",2010-03-18,2012-02-22,"1 años, 11 meses, 17 días."
"MORALES DASSO JOSE RAIMUNDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2007-01-01,2008-02-29,"4 años, 2 meses, 23 días."
"MORALES DASSO JOSE RAIMUNDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust",OTROS,"CREDICORP LTD.",2007-01-01,2007-01-01,"4 años, 2 meses, 23 días."
"RIOS BRICEÑO CESAR GONZALO","PRIMA AFP S.A.",DIRECTOR,Mibanco,"DIRECTOR SUPLENTE","CREDICORP LTD.",2014-03-27,2014-09-05,"0 años, 5 meses, 18 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Credito Leasing S.A.- Credileasing","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Credicorp Capital Sociedad Titulizadora S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 11 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 10 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Edyficar S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-10-21,2010-03-03,"0 años, 6 meses, 18 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credito Leasing S.A.- Credileasing","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 10 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credito Leasing S.A.- Credileasing","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-04-22,2009-07-01,"0 años, 0 meses, 27 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","PRESIDENTE EJECUTIVO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 11 meses, 1 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-04-22,2010-03-03,"0 años, 0 meses, 27 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-03-31,"0 años, 11 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-02-29,2008-03-27,"4 años, 10 meses, 19 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-02-29,2008-03-27,"0 años, 11 meses, 1 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-03-27,2009-03-02,"4 años, 11 meses, 17 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-03-27,2009-03-02,"0 años, 11 meses, 28 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2010-03-04,"A la actualidad","1 años, 9 meses, 2 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE NEGOCIOS MAYORIST","CREDICORP LTD.",2010-03-04,"A la actualidad","1 años, 11 meses, 3 días."
"ARAMBURU ARIAS IGNACIO","PROFUTURO AFP",DIRECTOR,"Scotiabank del Perú","VPS CFO & BUSINESS SUPPORT","THE BANK OF NOVA SCOTIA",2017-01-30,"A la actualidad","0 años, 1 meses, 15 días."
"ARAMBURU ARIAS IGNACIO","PROFUTURO AFP",DIRECTOR,"Scotia Sociedad Titulizadora S.A.",DIRECTOR,"THE BANK OF NOVA SCOTIA",2017-01-31,"A la actualidad","0 años, 0 meses, 1 días."
"ARAMBURU ARIAS IGNACIO","PROFUTURO AFP",DIRECTOR,"Crediscotia Financiera",DIRECTOR,"THE BANK OF NOVA SCOTIA",2017-01-31,"A la actualidad","0 años, 0 meses, 1 días."
"BUSTAMANTE ROMERO IGNACIO JOSE","PROFUTURO AFP",DIRECTOR,"Scotiabank del Perú",DIRECTOR,"THE BANK OF NOVA SCOTIA",2017-03-23,"A la actualidad","0 años, 11 meses, 22 días."
