companyId,shareholderId,participation,beginDate,endDate,serie
1,473,99,2002-08-20,2006-03-16,2006007264
1,473,56.49,2006-07-13,2007-11-05,
1,473,99.36,2007-11-05,2009-02-23,A
1,473,99.49,2009-02-23,,A
1,1,1,2002-09-02,2002-09-03,
1,1,0.37,2006-07-13,2006-07-13,
1,2,43.14,2006-07-13,2007-11-05,
2,3,78.08,2007-01-01,,
2,4,21.07,2007-01-01,,
3,5,5.29,2000-09-30,2002-07-31,COMUN
3,6,8.16,2004-03-04,2005-01-21,COMUN
3,6,8.27,2005-01-21,2005-05-12,
3,6,9.08,2005-05-12,2005-08-12,
3,6,11.042,2005-08-12,,
3,7,7.01,2004-03-04,2005-01-21,
3,7,5.62,2005-01-21,2005-05-12,
3,8,7.79,2004-03-04,2011-02-01,COMUN
3,9,7.79,2011-02-01,,COMUN
3,10,5.81,2004-03-04,2005-01-21,
3,10,7.73,2005-01-21,2005-05-12,
3,10,9.048,2005-05-12,,
3,11,9.94,2005-01-21,2005-05-12,
3,11,11.441,2005-05-12,,
3,12,7.17,2004-04-30,2005-01-21,
3,13,6.91,2004-03-04,2005-01-21,COMUN
3,14,8.14,2005-01-21,2005-05-12,
3,14,8.93,2005-05-12,2005-09-19,
3,14,9.18,2005-09-19,2006-11-30,
3,15,5.7,2005-05-12,,
3,16,11.071,2005-10-04,,
4,17,5.27,2008-09-09,2011-12-07,
4,18,100,2011-12-07,,
4,19,6.33,2008-09-09,2011-12-07,
4,20,5.27,2008-09-09,2011-12-07,
4,21,6,2004-03-15,2009-12-16,
4,21,4.38,2009-12-16,2009-12-16,
4,22,6,2004-05-19,2007-11-27,
4,22,6,2007-11-27,2008-09-03,
4,23,32.34,2008-02-14,2008-09-09,
4,23,33.93,2008-09-09,2008-10-28,
4,23,34.37,2008-10-28,2009-05-01,
4,24,34.37,2009-05-01,2010-06-22,
4,24,34.7,2010-06-22,2011-12-07,COMUNES
4,25,28.38,2008-02-14,2008-09-09,
4,25,30.04,2008-09-09,2009-12-16,
4,25,31.66,2009-12-16,2011-12-07,
4,26,5,2008-09-23,2008-10-28,
4,27,6,2008-09-03,2008-09-09,
4,27,6.33,2008-09-09,2011-12-07,
4,28,5,2008-09-03,2008-09-23,
5,29,22.8,2011-11-30,2014-03-18,
5,29,16.9,2014-03-18,,
5,30,4.4,2011-11-30,2011-11-30,
5,31,22.8,2011-11-30,2014-03-18,
5,31,15.41,2014-03-18,,
5,32,6.78,2014-03-18,,
5,33,4.1,2011-11-30,2011-11-30,
5,34,36.1,2011-11-30,2014-03-18,
5,34,26.76,2014-03-18,,
5,35,9.8,2011-11-30,2014-03-18,
5,35,7.62,2014-03-18,,
6,36,10.14,2002-08-31,2004-11-05,
6,37,60.85,2004-11-05,2006-03-03,
6,37,86.46,2004-11-24,,
6,38,5.85,2003-08-31,2004-01-31,
6,39,5.05,2001-11-13,2004-11-05,
7,40,100,2004-09-27,2004-12-16,
7,40,99.99,2004-12-16,2005-01-14,
7,41,99.99,2005-01-14,,
8,42,96.98,2006-09-28,2006-12-29,
8,42,97.24,2006-12-29,2007-12-10,
8,42,97.32,2007-12-10,2008-03-28,
8,42,97.34,2008-03-28,2010-11-11,
8,42,12.73,2010-11-11,2017-01-11,
8,42,8.917,2017-01-11,2017-01-12,
8,42,5.117,2017-01-12,2017-01-13,
8,42,3.73,2017-01-13,,
8,43,84.86,2010-11-11,2017-01-11,
8,43,88.774,2017-01-11,2017-01-12,
8,43,92.574,2017-01-12,2017-01-13,
8,43,93.96,2017-01-13,,
9,44,98.54,2005-05-13,,
9,45,9.9,2001-11-08,2005-05-13,
10,46,7.65,2002-07-09,2002-08-31,
10,47,98.91,2008-08-13,2013-07-22,
10,47,60.21,2013-07-22,2013-12-31,COMUNES Y PREFERENTE
10,47,59.53,2013-12-31,2015-01-13,COMUNES Y PREFERENTE
10,47,46.5,2015-01-13,2016-09-07,COMUNES YPREFERENTES
10,47,43.05,2016-09-07,,COMUNES Y PREFERENTE
10,48,8.21,2013-07-22,2013-12-31,COMUNES Y PREFERENTE
10,49,9.99,2013-07-22,2013-12-31,COMUNES
10,49,18.39,2013-12-31,2015-01-13,COMUNES Y PREFERENTE
10,50,38.02,2015-01-13,2016-09-07,COMUNES YPREFERENTES
10,50,44.48,2016-09-07,,COMUNES Y PREFERENTE
11,51,99.99,2013-10-04,,
11,52,46.3,2008-02-20,2008-12-30,
11,52,27.38,2008-12-30,2009-07-15,COMUNES
11,52,23.39,2009-07-15,2010-04-30,COMUNES
11,52,15.0923,2010-04-30,2011-04-29,COMUNES
11,52,13.16,2011-04-29,2012-06-28,
11,52,10.8,2012-06-28,2013-10-04,
11,53,99.99,2006-09-29,2006-11-15,
11,53,99.99,2006-11-15,2008-02-20,
11,53,53.69,2008-02-20,2008-12-30,COMUNES
11,54,72.61,2008-12-30,2009-07-15,COMUNES
11,54,76.6,2009-07-15,2010-04-30,COMUNES
11,54,84.9076,2010-04-30,2011-04-29,COMUNES
11,54,15.0923,2010-04-30,2010-04-30,COMUNES
11,54,86.84,2011-04-29,2012-06-28,
11,54,89.2,2012-06-28,2013-10-04,
12,55,43.6215,2013-05-09,,
12,56,12.6696,2013-05-09,,
12,57,43.7089,2013-05-09,,
13,58,91.89,2007-01-19,2008-01-29,
13,58,93.05,2008-01-29,2008-09-29,
13,58,96.1498325,2008-09-29,2009-08-12,
13,58,96.87,2009-08-12,2010-05-20,
13,58,97.37,2010-05-20,2011-05-10,
13,58,97.7344,2011-05-10,2012-05-31,
13,58,98.00894,2012-05-31,2013-06-10,
13,58,98.2,2013-06-10,2014-06-17,
13,58,98.37,2014-06-17,2016-06-01,
13,58,98.507,2016-06-01,2017-06-05,
13,58,98.708,2017-06-05,,
13,59,83.06,2005-01-27,2006-09-04,
13,59,84.7,2006-09-04,2007-01-29,
14,60,8,2000-05-26,,B
15,61,50,2005-01-06,2009-03-10,
15,62,50,2005-01-06,2009-03-10,
15,62,99.999999,2009-03-11,,
16,63,99.9,2007-10-01,2007-10-01,
16,64,99,2007-10-01,,COMUNES
17,65,100,2004-07-29,,
18,66,92.08,2005-06-10,2016-07-01,
18,66,46.12,2016-07-01,,
18,67,46.12,2016-07-01,,
19,68,100,2009-12-07,,
20,69,100,2012-04-16,,
21,70,100,2012-06-19,2017-01-10,
21,70,96.7,2017-01-10,,
22,42,99.99,2000-11-11,,
22,42,99.99,2000-12-11,2007-01-01,
22,42,100,2002-01-18,2005-01-14,
22,42,57,2007-01-01,2007-01-01,
23,71,23.199,2000-03-24,2007-08-27,B
23,72,86.8,2007-08-27,,
24,10,7.51,2004-12-07,2005-01-13,
24,10,7.52,2005-01-13,2005-02-23,
24,10,7.45,2005-02-23,2005-08-25,
24,10,7.36,2005-08-25,2005-10-04,
24,10,7.18,2005-10-04,2005-10-11,
24,10,7.07,2005-10-11,2005-12-07,
24,10,6.92,2005-12-07,2006-02-21,
24,10,6.88,2006-02-21,2006-09-06,
24,10,6.73,2006-09-06,2006-12-11,
24,10,6.42,2007-01-05,2007-01-22,
24,10,6.15,2007-03-15,2007-04-12,
24,10,6.09,2007-04-12,2007-04-19,
24,10,6.07,2007-04-19,2007-04-26,
24,10,6.02,2007-04-26,2007-05-09,
24,10,5.98,2007-05-09,2007-05-17,
24,10,5.79,2007-05-17,2007-06-04,
24,10,5.97,2007-06-04,2007-06-19,
24,10,5.91,2007-06-19,2007-07-02,
24,10,5.86,2007-07-02,2007-07-17,
24,10,5.68,2007-07-17,2007-07-31,
24,10,5.52,2007-07-31,2007-08-08,
24,10,5.42,2007-08-08,2007-08-20,
24,10,5.34,2007-08-20,2007-08-27,
24,10,5.27,2007-08-27,2007-10-01,
24,10,5.25,2009-03-10,2009-03-24,
24,10,5.31,2009-03-24,2009-03-31,
24,10,5.55,2009-03-31,2009-05-13,
24,10,5.23,2009-05-13,2009-05-15,
24,10,5.12,2009-05-15,2009-05-29,
24,10,5.07,2009-06-29,2009-07-08,
24,10,5.13,2009-07-08,2009-07-24,
24,10,5.07,2009-07-24,2009-07-31,
24,10,5.06,2009-07-31,2009-08-03,
24,73,7.63,2000-12-31,2004-12-07,
24,11,5.65,2004-04-30,2004-11-10,
24,11,6.21,2004-11-10,2004-12-07,
24,11,6.23,2004-12-07,2005-01-13,
24,11,6.26,2005-01-13,2005-02-23,
24,11,6.17,2005-02-23,2005-10-11,
24,11,6.12,2005-10-11,2005-10-12,
24,11,6.09,2005-10-12,2005-12-07,
24,11,6.08,2005-12-07,2005-12-29,
24,11,5.89,2005-12-29,2006-01-04,
24,11,5.9,2006-01-04,2006-09-06,
24,11,6.85,2006-09-06,2006-12-11,
24,11,6.76,2007-01-05,2007-01-22,
24,11,6.43,2007-02-01,2007-03-15,
24,11,6.23,2007-02-08,2007-04-12,
24,11,6.13,2007-04-12,2007-04-19,
24,11,6.07,2007-04-19,2007-04-26,
24,11,5.64,2007-04-26,2007-05-09,
24,11,5.57,2007-05-09,2007-05-17,
24,11,5.52,2007-05-17,2007-06-04,
24,11,5.83,2007-06-04,2007-06-19,
24,11,5.81,2007-06-19,2007-07-31,
24,11,5.78,2007-07-31,2007-08-08,
24,11,5.75,2007-08-08,2007-08-20,
24,11,5.62,2007-08-20,2007-08-27,
24,11,5.53,2007-08-27,2008-03-27,
24,11,6.11,2008-03-27,2009-07-31,
24,11,6.1,2009-07-31,2009-08-14,
24,74,67.04,2005-12-12,2005-12-29,
24,74,67.41,2005-12-21,2008-08-14,
24,74,67.43,2008-08-14,2008-08-19,
24,74,67.47,2008-08-19,2012-05-16,
24,74,53.32,2012-05-16,2012-10-31,
24,74,52.63,2012-10-31,2015-10-14,
24,74,50.77,2015-10-14,2015-10-15,
24,74,50.01,2015-10-15,,
24,75,18.54,2015-09-18,2015-09-24,
24,76,20.36,2013-11-21,2013-11-22,
24,77,21.12,2012-05-16,2012-05-17,
24,77,21.09,2012-05-17,2012-05-21,
24,77,21.08,2012-05-21,2012-05-22,
24,77,21.11,2012-05-22,2012-05-24,
24,77,21.15,2012-05-24,2012-06-06,
24,77,21.17,2012-06-06,2012-06-08,
24,77,21.18,2012-06-08,2012-06-28,
24,77,21.17,2012-06-28,2012-07-06,
24,77,21.15,2012-07-06,2012-07-09,
24,77,21.13,2012-07-09,2012-07-11,
24,77,21.1,2012-07-11,2012-07-13,
24,77,21.06,2012-07-13,2012-07-17,
24,77,21.07,2012-07-17,2012-07-18,
24,77,21.08,2012-07-18,2012-07-20,
24,77,21.03,2012-07-20,2012-07-30,
24,77,21.04,2012-07-30,2012-08-03,
24,77,20.57,2012-08-03,2012-08-08,
24,77,20.49,2012-08-08,2012-08-13,
24,77,20.5,2012-08-13,2012-08-14,
24,77,20.48,2012-08-14,2012-08-15,
24,77,20.42,2012-08-15,2012-08-16,
24,77,20.33,2012-08-16,2012-08-17,
24,77,20.3,2012-08-17,2012-08-20,
24,77,20.2,2012-08-20,2012-08-21,
24,77,20.1,2012-08-21,2012-08-22,
24,77,20.06,2012-08-22,2012-08-23,
24,77,19.98,2012-08-23,2012-08-27,
24,77,19.96,2012-08-27,2012-08-28,
24,77,19.94,2012-08-28,2012-08-31,
24,77,19.93,2012-08-31,2012-09-03,
24,77,19.9,2012-09-03,2012-09-04,
24,77,19.86,2012-09-04,2012-09-14,
24,77,19.8,2012-09-14,2012-09-20,
24,77,19.79,2012-09-20,2012-09-26,
24,77,19.6,2012-09-26,2012-09-28,
24,77,19.58,2012-09-28,2012-10-04,
24,77,19.41,2012-10-04,2012-10-10,
24,77,19.42,2012-10-10,2012-10-16,
24,77,19.4,2012-10-16,2012-11-02,
24,77,19.39,2012-11-02,2012-11-06,
24,77,19.41,2012-11-06,2012-11-15,
24,77,19.43,2012-11-15,2012-11-27,
24,77,19.4,2012-11-27,2012-12-10,
24,77,19.43,2012-12-10,2012-12-18,
24,77,19.45,2012-12-18,2012-12-20,
24,77,19.47,2012-12-20,2012-12-21,
24,77,19.49,2012-12-21,2012-12-27,
24,77,19.51,2012-12-27,2012-12-31,
24,77,19.52,2012-12-31,2013-01-08,
24,77,19.53,2013-01-08,2013-01-14,
24,77,19.55,2013-01-14,2013-01-18,
24,77,19.56,2013-01-18,2013-01-23,
24,77,19.55,2013-01-23,2013-01-24,
24,77,19.56,2013-01-24,2013-01-29,
24,77,19.58,2013-01-29,2013-01-30,
24,77,19.59,2013-01-30,2013-01-31,
24,77,19.6,2013-01-31,2013-02-11,
24,77,19.61,2013-02-11,2013-02-26,
24,77,19.62,2013-02-26,2013-02-27,
24,77,19.64,2013-02-27,2013-03-04,
24,77,19.61,2013-03-04,2013-03-05,
24,77,19.59,2013-03-05,2013-03-06,
24,77,19.58,2013-03-06,2013-03-11,
24,77,19.59,2013-03-11,2013-03-18,
24,77,19.6,2013-03-18,2013-03-19,
24,77,19.62,2013-03-19,2013-03-21,
24,77,19.71,2013-03-21,2013-03-22,
24,77,19.72,2013-03-22,2013-03-25,
24,77,19.78,2013-03-26,2013-03-27,
24,77,19.79,2013-03-27,2013-04-01,
24,77,19.84,2013-04-01,2013-04-03,
24,77,19.85,2013-04-03,2013-04-08,
24,77,19.86,2013-04-08,2013-04-09,
24,77,19.88,2013-04-09,2013-04-17,
24,77,19.9,2013-04-17,2013-04-19,
24,77,19.91,2013-04-19,2013-04-24,
24,77,19.93,2013-04-24,2013-04-30,
24,77,19.94,2013-04-30,2013-05-02,
24,77,20,2013-05-02,2013-05-06,
24,77,20.03,2013-05-06,2013-05-09,
24,77,20.05,2013-05-09,2013-05-14,
24,77,20.08,2013-05-14,2013-05-17,
24,77,20.14,2013-05-17,2013-05-20,
24,77,20.15,2013-05-20,2013-05-21,
24,77,20.16,2013-05-21,2013-05-22,
24,77,20.17,2013-05-22,2013-05-23,
24,77,20.18,2013-05-23,2013-05-24,
24,77,20.31,2013-05-24,2013-05-29,
24,77,20.33,2013-05-29,2013-05-30,
24,77,20.34,2013-05-30,2013-06-04,
24,77,20.36,2013-06-04,2013-06-05,
24,77,20.37,2013-06-05,2013-06-06,
24,77,20.38,2013-06-06,2013-06-10,
24,77,20.5,2013-06-10,2013-06-13,
24,77,20.53,2013-06-13,2013-06-17,
24,77,20.54,2013-06-17,2013-06-20,
24,77,20.55,2013-06-20,2013-06-26,
24,77,20.54,2013-06-26,2013-06-27,
24,77,20.53,2013-06-27,2013-07-01,
24,77,20.52,2013-07-01,2013-07-10,
24,77,20.51,2013-07-10,2013-07-12,
24,77,20.55,2013-07-12,2013-08-01,
24,77,20.57,2013-08-01,2013-08-05,
24,77,20.58,2013-08-05,2013-08-22,
24,77,20.59,2013-08-22,2013-08-23,
24,77,20.6,2013-08-23,2013-08-27,
24,77,20.61,2013-08-27,2013-08-28,
24,77,20.62,2013-08-28,2013-09-02,
24,77,20.59,2013-09-02,2013-09-06,
24,77,20.58,2013-09-06,2013-09-11,
24,77,20.56,2013-09-11,2013-10-09,
24,77,20.55,2013-10-09,2013-10-10,
24,77,20.54,2013-10-10,2013-10-15,
24,77,20.53,2013-10-15,2013-10-16,
24,77,20.52,2013-10-16,2013-10-17,
24,77,20.5,2013-10-17,2013-10-18,
24,77,20.49,2013-10-18,2013-10-25,
24,77,20.39,2013-10-25,2013-10-28,
24,77,20.36,2013-10-28,2013-10-29,
24,77,20.35,2013-10-29,2013-11-04,
24,77,20.33,2013-11-04,2013-11-13,
24,77,20.32,2013-11-13,2013-11-14,
24,77,2.33,2013-11-14,2013-11-14,
24,77,20.33,2013-11-14,2013-11-19,
24,77,20.35,2013-11-19,2013-11-21,
24,77,20.37,2013-11-22,2013-12-02,
24,77,20.36,2013-12-02,2013-12-04,
24,77,20.38,2013-12-04,2013-12-05,
24,77,20.39,2013-12-05,2013-12-10,
24,77,20.4,2013-12-10,2013-12-16,
24,77,20.39,2013-12-16,2013-12-18,
24,77,20.35,2013-12-18,2013-12-19,
24,77,20.34,2013-12-19,2013-12-20,
24,77,20.18,2013-12-20,2013-12-23,
24,77,20.14,2013-12-23,2013-12-27,
24,77,20.13,2013-12-27,2014-01-08,
24,77,20.07,2014-01-08,2014-01-31,
24,77,20.06,2014-01-31,2014-02-03,
24,77,20.04,2014-02-03,2014-02-04,
24,77,20.03,2014-02-04,2014-02-05,
24,77,19.84,2014-02-05,2014-02-06,
24,77,19.82,2014-02-06,2014-02-10,
24,77,19.79,2014-02-10,2014-02-11,
24,77,19.74,2014-02-11,2014-02-12,
24,77,19.68,2014-02-12,2014-02-13,
24,77,19.65,2014-02-13,2014-02-17,
24,77,19.66,2014-02-17,2014-02-19,
24,77,19.65,2014-02-19,2014-02-24,
24,77,19.61,2014-02-24,2014-02-27,
24,77,19.62,2014-02-27,2014-03-03,
24,77,19.61,2014-03-03,2014-03-11,
24,77,19.6,2014-03-11,2014-03-13,
24,77,19.63,2014-03-13,2014-03-24,
24,77,19.62,2014-03-24,2014-03-31,
24,77,19.64,2014-03-31,2014-04-03,
24,77,19.65,2014-04-03,2014-04-08,
24,77,19.66,2014-04-08,2014-04-09,
24,77,19.73,2014-04-09,2014-04-15,
24,77,19.74,2014-04-15,2014-04-16,
24,77,19.71,2014-04-16,2014-04-29,
24,77,19.66,2014-04-29,2014-04-30,
24,77,19.61,2014-04-30,2014-05-05,
24,77,19.59,2014-05-05,2014-05-06,
24,77,19.57,2014-05-06,2014-05-08,
24,77,19.56,2014-05-08,2014-05-12,
24,77,19.55,2014-05-12,2014-05-23,
24,77,19.54,2014-05-23,2014-05-27,
24,77,19.53,2014-05-27,2014-05-28,
24,77,19.46,2014-05-28,2014-06-13,
24,77,19.45,2014-06-13,2014-06-17,
24,77,19.44,2014-06-17,2014-07-02,
24,77,19.42,2014-07-02,2014-07-07,
24,77,19.41,2014-07-07,2014-07-09,
24,77,19.4,2014-07-09,2014-07-10,
24,77,19.39,2014-07-10,2014-07-21,
24,77,19.43,2014-07-21,2014-08-04,
24,77,19.42,2014-08-04,2014-08-22,
24,77,19.41,2014-08-22,2014-08-26,
24,77,19.42,2014-08-26,2014-08-28,
24,77,19.4,2014-08-28,2014-09-03,
24,77,20.16,2014-09-03,2014-09-17,
24,77,20.15,2014-09-17,2014-09-30,
24,77,20.17,2014-09-30,2014-10-01,
24,77,20.18,2014-10-01,2014-10-02,
24,77,20.28,2014-10-02,2014-10-03,
24,77,20.29,2014-10-03,2014-10-21,
24,77,20.3,2014-10-21,2014-10-24,
24,77,20.31,2014-10-24,2014-10-30,
24,77,20.3,2014-10-30,2014-10-31,
24,77,20.18,2014-10-31,2014-11-03,
24,77,20.07,2014-11-03,2014-11-10,
24,77,20.08,2014-11-10,2014-11-14,
24,77,20.05,2014-11-14,2014-11-17,
24,77,20.07,2014-11-17,2014-11-18,
24,77,20.08,2014-11-18,2014-12-10,
24,77,20.07,2014-12-10,2014-12-11,
24,77,20.04,2014-12-11,2014-12-12,
24,77,20.02,2014-12-12,2014-12-15,
24,77,19.99,2014-12-15,2014-12-17,
24,77,19.92,2014-12-17,2014-12-18,
24,77,19.91,2014-12-18,2014-12-22,
24,77,19.9,2014-12-22,2014-12-24,
24,77,19.88,2014-12-24,2014-12-26,
24,77,10.86,2014-12-26,2014-12-26,
24,77,19.86,2014-12-26,2015-01-05,
24,77,19.85,2015-01-05,2015-01-08,
24,77,19.76,2015-01-08,2015-01-09,
24,77,19.66,2015-01-09,2015-01-12,
24,77,19.61,2015-01-12,2015-01-22,
24,77,19.55,2015-01-22,2015-01-23,
24,77,19.41,2015-01-23,2015-01-26,
24,77,19.42,2015-01-26,2015-01-29,
24,77,19.41,2015-01-29,2015-01-30,
24,77,19.42,2015-01-30,2015-02-17,
24,77,19.4,2015-02-17,2015-02-20,
24,77,19.39,2015-02-20,2015-02-24,
24,77,19.4,2015-02-24,2015-03-05,
24,77,19.41,2015-03-05,2015-03-10,
24,77,19.4,2015-03-10,2015-03-11,
24,77,19.35,2015-03-11,2015-03-12,
24,77,19.27,2015-03-12,2015-03-16,
24,77,19,2015-03-16,2015-03-26,
24,77,18.99,2015-03-26,2015-04-09,
24,77,18.98,2015-04-09,2015-04-14,
24,77,18.99,2015-04-14,2015-04-15,
24,77,19,2015-04-15,2015-04-27,
24,77,18.99,2015-04-27,2015-05-06,
24,77,19,2015-05-06,2015-05-07,
24,77,18.99,2015-05-07,2015-05-11,
24,77,18.98,2015-05-11,2015-05-13,
24,77,18.86,2015-05-13,2015-05-15,
24,77,18.83,2015-05-15,2015-05-20,
24,77,18.8,2015-05-20,2015-05-26,
24,77,18.77,2015-05-26,2015-06-03,
24,77,18.76,2015-06-03,2015-06-04,
24,77,18.7,2015-06-04,2015-06-05,
24,77,18.65,2015-06-05,2015-06-17,
24,77,18.66,2015-06-17,2015-06-18,
24,77,18.57,2015-06-18,2015-06-19,
24,77,18.55,2015-06-19,2015-06-22,
24,77,18.49,2015-06-22,2015-06-23,
24,77,18.47,2015-06-23,2015-06-24,
24,77,18.46,2015-06-24,2015-06-25,
24,77,18.42,2015-06-25,2015-07-01,
24,77,18.41,2015-07-01,2015-07-02,
24,77,18.42,2015-07-02,2015-07-06,
24,77,18.41,2015-07-06,2015-07-07,
24,77,18.4,2015-07-07,2015-07-09,
24,77,18.39,2015-07-09,2015-07-16,
24,77,18.4,2015-07-16,2015-07-22,
24,77,18.39,2015-07-22,2015-08-12,
24,77,18.4,2015-08-12,2015-08-13,
24,77,18.41,2015-08-13,2015-08-17,
24,77,18.42,2015-08-17,2015-08-18,
24,77,18.43,2015-08-18,2015-08-20,
24,77,18.45,2015-08-20,2015-08-24,
24,77,18.46,2015-08-24,2015-08-25,
24,77,18.47,2015-08-25,2015-08-28,
24,77,18.54,2015-08-28,2015-09-01,
24,77,18.58,2015-09-01,2015-09-02,
24,77,18.57,2015-09-02,2015-09-04,
24,77,18.56,2015-09-04,2015-09-08,
24,77,18.55,2015-09-08,2015-09-09,
24,77,18.53,2015-09-09,2015-09-18,
24,77,18.53,2015-09-24,2015-10-05,
24,77,18.47,2015-10-05,2015-10-14,
24,77,18.52,2015-10-14,2015-10-19,
24,77,18.51,2015-10-19,2015-10-21,
24,77,18.52,2015-10-21,2015-11-02,
24,77,18.51,2015-11-02,2015-11-06,
24,77,18.52,2015-11-06,2015-11-27,
